Kampanya İsmi;Gönderim Tarihi;E-Posta Konusu;Gönderim Kriterleri;Hariç Tutulacak Kriterler;Gönderilen;Okunan;Okuma Oranı;Tekil Tıklama;Tekil Tıklama Oranı;Toplam Okuma;Toplam Tıklama;Ulaşmayan;Ulaşmayan Oranı;Geçersiz;Geçersiz Oranı;Diğer;Diğer Oran;Üyelikten Ayrılanlar;Üyelikten Ayrılan Oranı;Şikayet;Şikayet Oranı;Ziyaretçi;Satın Alan;Satın Alan Oranı;Ürün;Ciro
izmIZM_20251010_YEU_5462813;10/10/2025 16:50;İzmir'de Haftanın Parlayan Fırsatları Grupanya'da!;;;39932;6347;15,89;273;4,30;7163;299;2;0,01;68;0,17;33524;83,95;0;0,00;0;0,00;;0;0,00;0;
ankANK_20251010_YEU_5462809;10/10/2025 16:40;Ankara'da Haftanın Parlayan Fırsatları Grupanya'da!;;;37655;6133;16,29;237;3,86;6993;307;1;0,00;63;0,17;31486;83,62;0;0,00;0;0,00;;0;0,00;0;
istIST_20251010_YEU_5462805;10/10/2025 16:30;Grupanya'da Haftanın Yıldız Fırsatları;;;79398;20383;25,67;572;2,81;23503;717;5;0,01;11;0,01;59076;74,40;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461879;10/10/2025 08:30;<##PersonalSubject##>;;;13610;3798;27,91;32;0,84;4405;51;3;0,02;15;0,11;9794;71,96;0;0,00;0;0,00;;0;0,00;0;
istIST_5461877;10/10/2025 08:30;<##PersonalSubject##>;;;79507;20665;25,99;68;0,33;24041;72;31;0,04;62;0,08;58749;73,89;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461881;10/10/2025 08:30;<##PersonalSubject##>;;;17510;4544;25,95;10;0,22;5164;17;2;0,01;22;0,13;12942;73,91;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461883;10/10/2025 08:30;<##PersonalSubject##>;;;5677;1657;29,19;4;0,24;1871;8;2;0,04;5;0,09;4013;70,69;0;0,00;0;0,00;;0;0,00;0;
antANT_5461885;10/10/2025 08:30;<##PersonalSubject##>;;;5880;1556;26,46;0;0,00;1814;0;0;0,00;9;0,15;4315;73,38;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_5461875;09/10/2025 13:00;<##PersonalSubject##>;;;114100;29709;26,04;135;0,45;34381;185;37;0,03;62;0,05;84292;73,88;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461871;09/10/2025 08:30;<##PersonalSubject##>;;;5707;1682;29,47;5;0,30;1928;11;2;0,04;8;0,14;4015;70,35;0;0,00;0;0,00;;0;0,00;0;
antANT_5461873;09/10/2025 08:30;<##PersonalSubject##>;;;5821;1516;26,04;3;0,20;1705;3;0;0,00;7;0,12;4298;73,84;0;0,00;0;0,00;;0;0,00;0;
istIST_5461865;09/10/2025 08:30;<##PersonalSubject##>;;;79272;21206;26,75;61;0,29;24683;93;39;0,05;67;0,08;57960;73,12;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461867;09/10/2025 08:30;<##PersonalSubject##>;;;13432;3887;28,94;39;1,00;4535;59;5;0,04;9;0,07;9531;70,96;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461869;09/10/2025 08:30;<##PersonalSubject##>;;;17292;4640;26,83;4;0,09;5311;8;0;0,00;20;0,12;12632;73,05;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461859;08/10/2025 08:30;<##PersonalSubject##>;;;17373;4518;26,01;9;0,20;5137;12;1;0,01;20;0,12;12834;73,87;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461861;08/10/2025 08:30;<##PersonalSubject##>;;;5640;1662;29,47;7;0,42;1882;18;3;0,05;5;0,09;3970;70,39;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461857;08/10/2025 08:30;<##PersonalSubject##>;;;13422;3856;28,73;23;0,60;4463;29;6;0,04;10;0,07;9550;71,15;0;0,00;0;0,00;;0;0,00;0;
istIST_5461855;08/10/2025 08:30;<##PersonalSubject##>;;;79183;21028;26,56;63;0,30;24427;106;26;0,03;59;0,07;58070;73,34;0;0,00;0;0,00;;0;0,00;0;
antANT_5461863;08/10/2025 08:30;<##PersonalSubject##>;;;5867;1507;25,69;2;0,13;1725;2;1;0,02;8;0,14;4351;74,16;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461847;07/10/2025 08:30;<##PersonalSubject##>;;;13512;4061;30,05;26;0,64;4710;33;6;0,04;13;0,10;9432;69,80;0;0,00;0;0,00;;0;0,00;0;
