Campaign Name;Date;Email Subject;Target Criteria;Excluded Criteria;Sent;Total Opens;Open Rate;Unique Clicks;Unique Click Rate;Total Open;Total Clicks;Soft Bounce;Soft Bounce Rate;Hard Bounce;Hard Bounce Rate;Other;Other Rate;Unsubscribed;Unsubscribed Rate;Complaint;Complaint Rate;Visitor;Buyer;Buyer Conversion;Item;Revenue
antANT_20251107_YEU_5462884;07/11/2025 15:30;Haftanın Öne Çıkan Antalya Fırsatlarını Kaçırma;;;10434;2612;25,03;10;0,38;2766;23;0;0,00;0;0,00;7822;74,97;0;0,00;0;0,00;;0;0,00;0;
izmIZM_20251107_YEU_5462880;07/11/2025 15:26;Haftanın Öne Çıkan İzmir Fırsatlarını Kaçırma;;;35313;7389;20,92;37;0,50;7833;110;0;0,00;0;0,00;27924;79,08;0;0,00;0;0,00;;0;0,00;0;
ankANK_20251107_YEU_5462876;07/11/2025 15:15;Haftanın Öne Çıkan Ankara Fırsatlarını Kaçırma;;;24452;6185;25,29;111;1,79;7154;287;0;0,00;0;0,00;18267;74,71;0;0,00;0;0,00;;0;0,00;0;
istIST_5462174;07/11/2025 08:30;<##PersonalSubject##>;;;143909;34594;24,04;24;0,07;38288;65;0;0,00;0;0,00;109315;75,96;0;0,00;0;0,00;;0;0,00;0;
antANT_5462182;07/11/2025 08:30;<##PersonalSubject##>;;;10725;2513;23,43;0;0,00;2743;0;0;0,00;0;0,00;8212;76,57;0;0,00;0;0,00;;0;0,00;0;
burBUR_5462180;07/11/2025 08:30;<##PersonalSubject##>;;;10410;2694;25,88;0;0,00;2910;0;0;0,00;0;0,00;7716;74,12;0;0,00;0;0,00;;0;0,00;0;
ankANK_5462176;07/11/2025 08:30;<##PersonalSubject##>;;;24904;6318;25,37;14;0,22;7044;14;0;0,00;0;0,00;18586;74,63;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5462178;07/11/2025 08:30;<##PersonalSubject##>;;;36283;7306;20,14;3;0,04;7936;3;0;0,00;0;0,00;28977;79,86;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_5462172;06/11/2025 13:00;<##PersonalSubject##>;;;211717;42358;20,01;8;0,02;45773;17;0;0,00;0;0,00;169359;79,99;0;0,00;0;0,00;;0;0,00;0;
ankANK_5462164;06/11/2025 08:30;<##PersonalSubject##>;;;24946;6185;24,79;0;0,00;6895;0;0;0,00;0;0,00;18761;75,21;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5462166;06/11/2025 08:30;<##PersonalSubject##>;;;36442;7399;20,30;1;0,01;8115;2;0;0,00;0;0,00;29043;79,70;0;0,00;0;0,00;;0;0,00;0;
burBUR_5462168;06/11/2025 08:30;<##PersonalSubject##>;;;10543;2764;26,22;0;0,00;3116;0;0;0,00;0;0,00;7779;73,78;0;0,00;0;0,00;;0;0,00;0;
istIST_5462162;06/11/2025 08:30;<##PersonalSubject##>;;;143541;34203;23,83;12;0,04;38193;32;0;0,00;0;0,00;109338;76,17;0;0,00;0;0,00;;0;0,00;0;
antANT_5462170;06/11/2025 08:30;<##PersonalSubject##>;;;10687;2453;22,95;0;0,00;2708;0;0;0,00;0;0,00;8234;77,05;0;0,00;0;0,00;;0;0,00;0;
istIST_5462152;05/11/2025 08:30;<##PersonalSubject##>;;;143619;34821;24,25;35;0,10;39358;98;36;0,03;79;0,06;108683;75,67;0;0,00;0;0,00;;0;0,00;0;
antANT_5462160;05/11/2025 08:30;<##PersonalSubject##>;;;10637;2514;23,63;0;0,00;2795;0;3;0,03;5;0,05;8115;76,29;0;0,00;0;0,00;;0;0,00;0;
burBUR_5462158;05/11/2025 08:30;<##PersonalSubject##>;;;10483;2836;27,05;1;0,04;3175;1;5;0,05;7;0,07;7635;72,83;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5462156;05/11/2025 08:30;<##PersonalSubject##>;;;36420;7496;20,58;4;0,05;8354;6;5;0,01;21;0,06;28898;79,35;0;0,00;0;0,00;;0;0,00;0;
ankANK_5462154;05/11/2025 08:30;<##PersonalSubject##>;;;24889;6370;25,59;7;0,11;7122;8;6;0,02;12;0,05;18501;74,33;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5462146;04/11/2025 08:30;<##PersonalSubject##>;;;36233;7895;21,79;1;0,01;8519;1;22;0,06;1361;3,76;26955;74,39;0;0,00;0;0,00;;0;0,00;0;
burBUR_5462148;04/11/2025 08:30;<##PersonalSubject##>;;;10525;2783;26,44;0;0,00;3020;0;5;0,05;384;3,65;7353;69,86;0;0,00;0;0,00;;0;0,00;0;
