"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (TRY)","Purchases conversion value",Ends,"Link clicks","Website purchases",Views
2022-10-10,2025-11-10,"FB - IG - Purchase - Bursa - Guzellik",not_delivering,100,Daily,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,6191,13158,366.39,366.39,95.2,Ongoing,16,1,0
2022-10-10,2025-11-10,"FB - IG - Kapadokya",not_delivering,200,Daily,"7-day click or 1-day view",,,6591,13826,,558.9,,Ongoing,44,,0
2022-10-10,2025-11-10,"Post Promote - Days Hotel by Wyndham Aqua Plus Spa",inactive,200,Daily,"7-day click or 1-day view",14,actions:offsite_conversion.fb_pixel_purchase,16910,47426,132.51857143,1855.26,10895,Ongoing,328,14,0
2022-10-10,2025-11-10,"Post Promote - Millenium Golden Horn Hotel Aqua Plus Spa",not_delivering,50,Daily,"7-day click or 1-day view",22,actions:offsite_conversion.fb_pixel_purchase,12847,32343,76.91590909,1692.15,15884.02,Ongoing,237,22,0
2022-10-10,2025-11-10,"Post Promote - Mecidiyeköy Milord Hotel Aqua Plus Spa",inactive,50,Daily,"7-day click or 1-day view",39,actions:offsite_conversion.fb_pixel_purchase,17902,53222,63.7725641,2487.13,24650.88,Ongoing,442,39,0
2022-10-10,2025-11-10,"Harika Cuma 2023 Campaign",completed,"Using ad set budget",0,"7-day click or 1-day view",29,actions:offsite_conversion.fb_pixel_purchase,15265,30041,54.9862069,1594.6,18765.7,2023-11-27,333,29,0
2022-10-10,2025-11-10,"Harika Cuma İstanbul 2023",inactive,"Using ad set budget",0,"7-day click or 1-day view",81,actions:offsite_conversion.fb_pixel_purchase,34308,71850,51.1382716,4142.2,52213.38,Ongoing,646,81,0
2022-10-10,2025-11-10,"Harika Cuma Ankara 2023",not_delivering,"Using ad set budget",0,"7-day click or 1-day view",20,actions:offsite_conversion.fb_pixel_purchase,11885,23198,47.68,953.6,12529,Ongoing,197,20,0
2022-10-10,2025-11-10,"Harika Cuma İzmir 2023",inactive,"Using ad set budget",0,"7-day click or 1-day view",11,actions:offsite_conversion.fb_pixel_purchase,8972,20115,97.38090909,1071.19,3607,Ongoing,190,11,0
2022-10-10,2025-11-10,"Post Promote - Ramada Fındıkzade Aqua Plus Spa",inactive,50,Daily,"7-day click or 1-day view",8,actions:offsite_conversion.fb_pixel_purchase,6039,15733,101.2525,810.02,5003.56,Ongoing,97,8,0
2022-10-10,2025-11-10,"Post Promote - The Green Oasis Thermal",not_delivering,100,Daily,"7-day click or 1-day view",30,actions:offsite_conversion.fb_pixel_purchase,8769,26080,37.659,1129.77,35128.04,Ongoing,70,30,0
2022-10-10,2025-11-10,"Post Promote - 5* Kervansaray Termal Otel",not_delivering,100,Daily,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,3310,7277,85.435,341.74,2373.07,Ongoing,38,4,0
2022-10-10,2025-11-10,"Post Promote - Muratpaşa Queen Beauty Studio",completed,100,Daily,"7-day click or 1-day view",8,actions:offsite_conversion.fb_pixel_purchase,6995,21307,80.78375,646.27,3982,2023-12-20,36,8,0
2022-10-10,2025-11-10,"Post Promote - Istanbul_Guzellik_202312",completed,100,Daily,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,2737,7546,70.634,353.17,3628,2023-12-18,17,5,0
2022-10-10,2025-11-10,"Post Promote - Ankara_Guzellik_202312",completed,50,Daily,"7-day click or 1-day view",8,actions:offsite_conversion.fb_pixel_purchase,1408,4140,22.02375,176.19,2959.01,2023-12-18,9,8,0
2022-10-10,2025-11-10,"Post Promote - Izmir_Guzellik_202312",completed,100,Daily,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,2453,8042,88.1,352.4,1170.06,2023-12-18,18,4,0
2022-10-10,2025-11-10,"Post Promote - Bursa_Guzellik_202312",completed,50,Daily,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,1763,4934,88.095,176.19,610,2023-12-18,11,2,0
2022-10-10,2025-11-10,"Post Promote - Antalya_Guzellik_202312",completed,50,Daily,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,1627,4172,176.17,176.17,479.2,2023-12-18,20,1,0
2022-10-10,2025-11-10,"Post Promote - Glamour Hotel Roof & Fine Dine Restaurant",completed,"Using ad set budget",0,"7-day click or 1-day view",683,actions:link_click,30461,51929,0.90178624,615.92,4316.46,2023-12-31,683,2,0
2022-10-10,2025-11-10,"Post Promote - Istanbul Yilbasi",completed,250,Daily,"7-day click or 1-day view",11,actions:offsite_conversion.fb_pixel_purchase,6017,16182,67.35909091,740.95,6922.58,2023-12-31,47,11,0
2022-10-10,2025-11-10,"Post Promote - Aleyna Tilki Gala",not_delivering,1400,Lifetime,"7-day click or 1-day view",438,actions:link_click,22027,28297,0.52178082,228.54,,2024-02-27,438,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Halkalı Liv City Hotels",completed,500,Lifetime,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,6334,13272,166.66666667,500,3196,2024-01-19,25,3,0
2022-10-10,2025-11-10,"Post Promote - Kervansaray Termal Otel Konaklama",not_delivering,100,Daily,"7-day click or 1-day view",24,actions:offsite_conversion.fb_pixel_purchase,7163,18155,26.42541667,634.21,21976.6,Ongoing,61,24,0
2022-10-10,2025-11-10,"FB - IG - Purchase - İstanbul - Oto Bakım",archived,"Using ad set budget",0,"7-day click or 1-day view",12,actions:link_click,474,478,0.56833333,6.82,,2022-11-29,12,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - İstanbul - Oto Bakım",inactive,"Using ad set budget",0,"7-day click or 1-day view",105,actions:offsite_conversion.fb_pixel_purchase,45610,98981,26.69990476,2803.49,66656.67,Ongoing,100,105,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Izmir - SPA & Masaj",inactive,"Using ad set budget",0,"7-day click or 1-day view",1063,actions:offsite_conversion.fb_pixel_purchase,363348,1607134,30.0141016,31904.99,268894.74,Ongoing,7555,1063,0
2022-10-10,2025-11-10,GRP_Iftar_50,not_delivering,250,Daily,"7-day click or 1-day view",287,actions:offsite_conversion.fb_pixel_purchase,92055,343858,41.04125436,11778.84,258397.69,2024-04-10,2232,287,0
2022-10-10,2025-11-10,Kırkubbe,inactive,"Using ad set budget",0,"7-day click",29,actions:offsite_conversion.fb_pixel_purchase,66584,152043,117.75068966,3414.77,21073.09,Ongoing,1643,29,0
2022-10-10,2025-11-10,GRP_Ankara_Masaj_Kategori,not_delivering,50,Daily,"7-day click or 1-day view",11,actions:offsite_conversion.fb_pixel_purchase,10704,26426,77.43909091,851.83,5643.35,Ongoing,242,11,0
2022-10-10,2025-11-10,GRP_Izmir_Masaj_Kategori,not_delivering,100,Daily,"7-day click or 1-day view",15,actions:offsite_conversion.fb_pixel_purchase,13903,36730,75.22733333,1128.41,3540.34,Ongoing,338,15,0
2022-10-10,2025-11-10,GRP_Bursa_Masaj_Kategori,not_delivering,28,Daily,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,11600,19611,88.286,441.43,1172,Ongoing,195,5,0
2022-10-10,2025-11-10,GRP_Antalya_Masaj_Kategori,not_delivering,28,Daily,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,12073,21458,88.536,442.68,1679,Ongoing,184,5,0
2022-10-10,2025-11-10,"FB - IG - Post Promote - Bayram Tur",inactive,"Using ad set budget",0,"7-day click or 1-day view",46,actions:offsite_conversion.fb_pixel_purchase,72233,142158,75.24913043,3461.46,49065.7,Ongoing,376,46,0
